Paper_ID,Year,Title,Authors,Algorithm_Type,Quantum_Framework,Application_Domain,Repository_URL,DOI,arXiv_URL,arXiv_Categories
37,2023,Variational Quantum Approximate Support Vector Machine with Inference Transfer,"Park, Siheon; Park, Daniel K; Rhee, June-Koo Kevin",Variational Quantum Approximate SVM,Custom Hybrid Implementation,,https://github.com/Siheon-Park/QUIC-Projects,,,
38,2023,Quantum Advantage Seeker with Kernels (QuASK): a software framework to speed up the research in quantum machine learning,"Di Marcantonio, Francesco; Incudini, Massimiliano; Tezza, Davide; Grossi, Michele",,Python,,https://github.com/CERN-IT-INNOVATION/QuASK,10.1007/s42484-023-00107-2,https://link.springer.com/10.1007/s42484-023-00107-2,
39,2022,Verifying Fairness in Quantum Machine Learning,"Guan, Ji; Fang, Wang; Ying, Mingsheng",Fairness Verification for QML Models,TensorFlow Quantum,,https://github.com/veri-q/fairness,10.1007/978-3-031-13188-2_20,https://link.springer.com/10.1007/978-3-031-13188-2_20,
40,2023,Quantum Machine Learning for Distributed Quantum Protocols with Local Operations and Noisy Classical Communications,"Chittoor, Hari Hara Suthan; Simeone, Osvaldo",QML for Distributed Protocols (LOCCNet variant),Custom Implementation,,https://github.com/kclip/noise-aware-loccnet,10.3390/e25020352,https://www.mdpi.com/1099-4300/25/2/352,
41,2022,Scalable Quantum Neural Networks for Classification,"Wu, Jindi; Tao, Zeyi; Li, Qun",Scalable Quantum Neural Networks (SQNN),TensorFlow Quantum,,https://github.com/jindi0/sqnn,,,
42,2021,Variational quantum Gibbs state preparation with a truncated Taylor series,"Wang, Youle; Li, Guangxi; Wang, Xin",variational Quantum Algorithms (Gibbs state prep),Custom Hybrid Implementation,,https://github.com/PaddlePaddle/Quantum,10.1103/PhysRevApplied.16.054035,http://arxiv.org/abs/2005.08797,Computer Science - Machine Learning; Quantum Physics; Computer Science - Information Theory; Condensed Matter - Statistical Mechanics
43,2023,QuACK: Accelerating Gradient-Based Quantum Optimization with Koopman Operator Learning,"Luo, Di; Shen, Jiayu; Dangovski, Rumen; Soljačić, Marin",Quantum Optimization Acceleration (QuACK algorithm),Custom Implementation,,https://github.com/qkoopman/QuACK,10.48550/arXiv.2211.01365,http://arxiv.org/abs/2211.01365,Computer Science - Artificial Intelligence; Computer Science - Machine Learning; Quantum Physics; Mathematics - Optimization and Control; Physics - Computational Physics
44,2023,Hybrid Quantum-Classical Generative Adversarial Network for High Resolution Image Generation,"Tsang, Shu Lok; West, Maxwell T.; Erfani, Sarah M.; Usman, Muhammad","Hybrid QGAN (quantum generator, classical critic)",Custom Implementation,,https://github.com/jasontslxd/PQWGAN,10.1109/TQE.2023.3319319,http://arxiv.org/abs/2212.11614,Computer Science - Machine Learning; Quantum Physics; Computer Science - Computer Vision and Pattern Recognition
45,2023,SEQUENT: Towards Traceable Quantum Machine Learning using Sequential Quantum Enhanced Training,"Altmann, Philipp; Sünkel, Leo; Stein, Jonas; Müller, Tobias; Roch, Christoph; Linnhoff-Popien, Claudia",Hybrid QML with Sequential (transfer) Training,TensorFlow Quantum,Benchmarking and Performance Evaluation,https://github.com/philippaltmann/sequent,10.5220/0011772400003393,http://arxiv.org/abs/2301.02601,Computer Science - Machine Learning; Quantum Physics
46,2023,Explaining Quantum Circuits with Shapley Values: Towards Explainable Quantum Machine Learning,"Heese, Raoul; Gerlach, Thore; Mücke, Sascha; Müller, Sabine; Jakobs, Matthias; Piatkowski, Nico",Explainable QML (Quantum Shapley Values),Custom Hybrid Implementation,,https://github.com/RaoulHeese/qshaptools,10.1007/s42484-025-00254-8,http://arxiv.org/abs/2301.09138,Computer Science - Machine Learning; Quantum Physics; Statistics - Machine Learning
